クエスト名,アイテム1,アイテム2,アイテム3,アイテム4,アイテム5,アイテム6,アイテム7,アイテム8,アイテム9,アイテム10,アイテム11,アイテム12,アイテム13
弓の修練場 極級,神酒,涙石,羽根,種,塵,髄液,弓秘,弓魔,弓輝,弓モ,弓ピ,弓猛火,
弓の修練場 超級,証,塵,種,羽根,蹄鉄,涙石,弓輝,弓魔,弓秘,弓ピ,弓モ,弓猛火,
弓の修練場 上級,証,塵,種,羽根,蹄鉄,涙石,弓輝,弓魔,弓秘,弓ピ,弓モ,弓猛火,
弓の修練場 中級,証,骨,牙,塵,種,羽根,蹄鉄,弓輝,弓魔,弓ピ,弓モ,弓猛火,
弓の修練場 初級,証,骨,牙,塵,蹄鉄,弓輝,弓ピ,弓モ,弓猛火,,,,
槍の修練場 極級,幼角,勲章,羽根,ホム,毒針,塵,槍秘,槍魔,槍輝,槍モ,槍ピ,槍猛火,
槍の修練場 超級,証,塵,種,羽根,ホム,幼角,槍輝,槍魔,槍秘,槍ピ,槍モ,槍猛火,
槍の修練場 上級,証,塵,種,羽根,ホム,幼角,槍輝,槍魔,槍秘,槍ピ,槍モ,槍猛火,
槍の修練場 中級,証,骨,塵,種,ホム,槍輝,槍魔,槍ピ,槍モ,槍猛火,,,
槍の修練場 初級,証,骨,塵,ホム,槍輝,槍ピ,槍モ,槍猛火,,,,,
狂の修練場 極級,胆石,爪,八連,塵,鉄杭,証,狂秘,狂魔,狂輝,狂モ,狂ピ,狂猛火,
狂の修練場 超級,証,塵,八連,爪,狂輝,狂魔,狂秘,狂ピ,狂モ,狂猛火,,,
狂の修練場 上級,証,塵,八連,爪,狂輝,狂魔,狂秘,狂ピ,狂モ,狂猛火,,,
狂の修練場 中級,証,塵,八連,爪,狂輝,狂魔,狂ピ,狂モ,狂猛火,,,,
狂の修練場 初級,証,塵,八連,狂輝,狂ピ,狂モ,狂猛火,,,,,,
騎の修練場 極級,逆鱗,産毛,蹄鉄,塵,牙,騎秘,騎魔,騎輝,騎モ,騎ピ,騎猛火,,
騎の修練場 超級,牙,塵,蹄鉄,逆鱗,騎輝,騎魔,騎秘,騎ピ,騎モ,騎猛火,,,
騎の修練場 上級,牙,塵,蹄鉄,逆鱗,騎輝,騎魔,騎秘,騎ピ,騎モ,騎猛火,,,
騎の修練場 中級,牙,塵,蹄鉄,騎輝,騎魔,騎ピ,騎モ,騎猛火,,,,,
騎の修練場 初級,牙,塵,蹄鉄,騎輝,騎ピ,騎モ,騎猛火,,,,,,
術の修練場 極級,スカラベ,心臓,ランプ,蛇玉,頁,塵,術秘,術魔,術輝,術モ,術ピ,術猛火,
術の修練場 超級,塵,蛇玉,頁,心臓,術輝,術魔,術秘,術ピ,術モ,術猛火,,,
術の修練場 上級,塵,蛇玉,頁,心臓,術輝,術魔,術秘,術ピ,術モ,術猛火,,,
術の修練場 中級,塵,蛇玉,頁,術輝,術魔,術ピ,術モ,術猛火,,,,,
術の修練場 初級,塵,蛇玉,頁,術輝,術魔,術ピ,術モ,術猛火,,,,,
殺の修練場 極級,脂,ランタン,種,塵,牙,鎖,殺秘,殺魔,殺輝,殺モ,殺ピ,殺猛火,
殺の修練場 超級,牙,塵,種,ランタン,歯車,脂,殺輝,殺魔,殺秘,殺ピ,殺モ,殺猛火,
殺の修練場 上級,牙,塵,種,ランタン,歯車,脂,殺輝,殺魔,殺秘,殺ピ,殺モ,殺猛火,
殺の修練場 中級,牙,塵,種,ランタン,歯車,殺輝,殺魔,殺ピ,殺モ,殺猛火,,,
殺の修練場 初級,牙,塵,ランタン,歯車,殺輝,殺ピ,殺モ,殺猛火,,,,,
剣の修練場 極級,根,勾玉,貝殻,羽根,歯車,塵,証,剣秘,剣魔,剣輝,剣モ,剣ピ,剣猛火
剣の修練場 超級,証,塵,種,羽根,歯車,貝殻,精霊根,剣輝,剣魔,剣秘,剣ピ,剣モ,剣猛火
剣の修練場 上級,証,塵,種,羽根,歯車,貝殻,精霊根,剣輝,剣魔,剣秘,剣ピ,剣モ,剣猛火
剣の修練場 中級,証,塵,種,歯車,貝殻,剣輝,剣魔,剣ピ,剣モ,剣猛火,,,
剣の修練場 初級,証,骨,牙,塵,歯車,貝殻,剣輝,剣ピ,剣モ,剣猛火,,,
